transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,total_amoumt,transaction_hour_bucket,transaction_time_formatted,Day_of_week,Month_of_year,day_number,day_category,time_category,order_bucket
1,2023-01-01,2026-03-21T07:06:11.000Z,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,6,7,07:06:11,Sun,Jan,1,Weekend,Morning,Couple/Small Group
2,2023-01-01,2026-03-21T07:08:56.000Z,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,7,07:08:56,Sun,Jan,1,Weekend,Morning,Couple/Small Group
3,2023-01-01,2026-03-21T07:14:04.000Z,2,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9,7,07:14:04,Sun,Jan,1,Weekend,Morning,Couple/Small Group
4,2023-01-01,2026-03-21T07:20:24.000Z,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,7,07:20:24,Sun,Jan,1,Weekend,Morning,Single
5,2023-01-01,2026-03-21T07:22:41.000Z,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,7,07:22:41,Sun,Jan,1,Weekend,Morning,Couple/Small Group
6,2023-01-01,2026-03-21T07:22:41.000Z,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,3,7,07:22:41,Sun,Jan,1,Weekend,Morning,Single
7,2023-01-01,2026-03-21T07:25:49.000Z,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2,7,07:25:49,Sun,Jan,1,Weekend,Morning,Single
8,2023-01-01,2026-03-21T07:33:34.000Z,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4,7,07:33:34,Sun,Jan,1,Weekend,Morning,Couple/Small Group
9,2023-01-01,2026-03-21T07:39:13.000Z,1,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,4.25,7,07:39:13,Sun,Jan,1,Weekend,Morning,Single
10,2023-01-01,2026-03-21T07:39:34.000Z,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7,7,07:39:34,Sun,Jan,1,Weekend,Morning,Couple/Small Group
11,2023-01-01,2026-03-21T07:43:05.000Z,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,7,07:43:05,Sun,Jan,1,Weekend,Morning,Single
12,2023-01-01,2026-03-21T07:44:35.000Z,2,5,Lower Manhattan,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,7,07:44:35,Sun,Jan,1,Weekend,Morning,Couple/Small Group
13,2023-01-01,2026-03-21T07:45:51.000Z,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,3,7,07:45:51,Sun,Jan,1,Weekend,Morning,Single
14,2023-01-01,2026-03-21T07:48:19.000Z,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,7,07:48:19,Sun,Jan,1,Weekend,Morning,Single
15,2023-01-01,2026-03-21T07:52:36.000Z,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,6,7,07:52:36,Sun,Jan,1,Weekend,Morning,Couple/Small Group
16,2023-01-01,2026-03-21T07:59:58.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,6,7,07:59:58,Sun,Jan,1,Weekend,Morning,Couple/Small Group
17,2023-01-01,2026-03-21T07:59:58.000Z,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,7,07:59:58,Sun,Jan,1,Weekend,Morning,Single
18,2023-01-01,2026-03-21T08:00:18.000Z,1,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,8,08:00:18,Sun,Jan,1,Weekend,Morning,Single
19,2023-01-01,2026-03-21T08:00:39.000Z,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9,8,08:00:39,Sun,Jan,1,Weekend,Morning,Couple/Small Group
20,2023-01-01,2026-03-21T08:11:45.000Z,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,8,08:11:45,Sun,Jan,1,Weekend,Morning,Single
21,2023-01-01,2026-03-21T08:17:27.000Z,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7,8,08:17:27,Sun,Jan,1,Weekend,Morning,Couple/Small Group
22,2023-01-01,2026-03-21T08:24:26.000Z,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,8,08:24:26,Sun,Jan,1,Weekend,Morning,Couple/Small Group
23,2023-01-01,2026-03-21T08:24:26.000Z,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,8,08:24:26,Sun,Jan,1,Weekend,Morning,Single
24,2023-01-01,2026-03-21T08:29:38.000Z,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,8,08:29:38,Sun,Jan,1,Weekend,Morning,Single
25,2023-01-01,2026-03-21T08:31:23.000Z,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,3.75,8,08:31:23,Sun,Jan,1,Weekend,Morning,Single
26,2023-01-01,2026-03-21T08:33:08.000Z,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,3,8,08:33:08,Sun,Jan,1,Weekend,Morning,Single
27,2023-01-01,2026-03-21T08:33:08.000Z,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,8,08:33:08,Sun,Jan,1,Weekend,Morning,Single
28,2023-01-01,2026-03-21T08:35:03.000Z,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,6,8,08:35:03,Sun,Jan,1,Weekend,Morning,Couple/Small Group
29,2023-01-01,2026-03-21T08:35:03.000Z,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,8,08:35:03,Sun,Jan,1,Weekend,Morning,Single
30,2023-01-01,2026-03-21T08:41:57.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,8,08:41:57,Sun,Jan,1,Weekend,Morning,Couple/Small Group
31,2023-01-01,2026-03-21T08:52:03.000Z,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75,8,08:52:03,Sun,Jan,1,Weekend,Morning,Single
32,2023-01-01,2026-03-21T08:52:32.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,8,08:52:32,Sun,Jan,1,Weekend,Morning,Single
33,2023-01-01,2026-03-21T08:54:33.000Z,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7,8,08:54:33,Sun,Jan,1,Weekend,Morning,Couple/Small Group
34,2023-01-01,2026-03-21T08:56:27.000Z,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5,8,08:56:27,Sun,Jan,1,Weekend,Morning,Couple/Small Group
35,2023-01-01,2026-03-21T08:57:46.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,8,08:57:46,Sun,Jan,1,Weekend,Morning,Single
36,2023-01-01,2026-03-21T08:58:55.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,3,8,08:58:55,Sun,Jan,1,Weekend,Morning,Single
37,2023-01-01,2026-03-21T09:00:12.000Z,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4,9,09:00:12,Sun,Jan,1,Weekend,Morning,Single
